adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/yBov7O4eXDcBLDpZrOHZzFr8rIl.jpg,"[16, 35, 12, 10751]",459151,en,The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,79.101,/kv2Qk9MKFFQo4WQPaYta599HkJP.jpg,2021-07-01,The Boss Baby: Family Business,False,7.385,2475
False,/i94i5sNDvuf39ySZmYK7LyNVVQP.jpg,[35],1000572,fr,Les Choses simples,"Vincent is a famous successful entrepreneur. One day, a car breakdown on a mountain road temporarily interrupts his frantic lifestyle. Pierre, who lives apart from the modern world in the middle of sublime nature, comes to his aid and offers him his hospitality. The meeting between these two men, who are opposites will upset their respective beliefs and they will find themselves laughing. The question is...deep down, are they really each living the lives they want to live?",65.516,/70GmOX3yhKETP4KzXmeH3OQOQ0h.jpg,2023-02-22,A Great Friend,False,6.466,89
False,/jCnNP3ws6pGs2PhEGMJFr6aBYQF.jpg,"[18, 10749]",61108,fr,Emmanuelle 6,Journey with Emmanuelle and the world's most excuisite models deep into the Amazon jungle to the heart of paradise. Beauty can be dangerous and the women soon find themselves captive to a powerful drug lord. Now they must escape from a land of darkness,130.555,/akhaTeqlNEqkyAVdmRWEUDTMUgK.jpg,1988-07-06,Emmanuelle 6,False,4.08,25
False,/lJJUpqjlZYKxIO1YdlmA15pa1Bf.jpg,"[18, 10749, 53]",462183,es,Salvaje despertar,"Toni and Emma are brother and sister who owns a stable farm. Ramon and his son, Aaron works for them. Toni is openly gay and loves to party, Emma has a crush on Aaron who is a closeted gay who is afraid that his father might find out, but his father also has a secret.",80.068,/jD9MILmkIeBBoFJbOjHAaCQ3sEA.jpg,2016-10-23,Wild Awakening,False,5.5,17
False,/cCvp5Sni75agCtyJkNOMapORUQV.jpg,"[28, 80, 18]",111,en,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",101.043,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,1983-12-09,Scarface,False,8.166,11534
False,/okVLmXL5y18dfN2R4ufMZEGaeCd.jpg,"[28, 53, 18, 80]",1160018,hi,किल,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.",88.285,/52tSovUH1w9cp4gzGNThaT4pQW.jpg,2024-07-04,Kill,False,6.833,36
False,/j76bFSkkQxh66AqehhoqRljgeld.jpg,"[10749, 18]",820525,en,After Everything,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",79.326,/uQxjZGU6rxSPSMeAJPJQlmfV3ys.jpg,2023-09-13,After Everything,False,6.95,792
False,/34jW8LvjRplM8Pv06cBFDpLlenR.jpg,"[28, 12, 878]",429617,en,Spider-Man: Far From Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",104.517,/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,2019-06-28,Spider-Man: Far From Home,False,7.428,15346
False,/6SLyu9ygASsrOqkCpjAwtyG9PWW.jpg,"[10751, 878, 28, 35]",1094556,en,The Thundermans Return,"Twins Phoebe and Max are enjoying their superhero lifestyle, but when one 'save' goes awry, the Thundermans are sent back to Hiddenville. While Hank and Barb enjoy their return, and Billy and Nora look forward to a normal high school life, Max and Phoebe are determined to regain their superhero status.",83.886,/bzFY5gwXOS6WWxQiSeofi1Qa62x.jpg,2024-03-07,The Thundermans Return,False,7.177,150
False,,[27],1038392,en,The Conjuring: Last Rites,The next chapter in the story of Ed and Lorraine Warren.,97.053,/9a58oKKJejkohIXO6wGRb45A3ui.jpg,2025-09-04,The Conjuring: Last Rites,False,0.0,0
